"Position (bp)"	"Border-Photoactivation-1_R1"	"Border-Photoactivation-1_R2"	"Border-Photoactivation-2_R1"	"Border-Photoactivation-2_R2"	"Border-Photoactivation-3_R1"	"Border-Photoactivation-3_R2"	"Central-Photoactivation-1_R1"	"Central-Photoactivation-1_R2"	"Central-Photoactivation-2_R1"	"Central-Photoactivation-2_R2"	"Central-Photoactivation-3_R1"	"Central-Photoactivation-3_R2"	"Control-1_R1"	"Control-1_R2"	"Control-2_R1"	"Control-2_R2"	"Control-3_R1"	"Control-3_R2"	"Entirely-Photoactivated-1_R1"	"Entirely-Photoactivated-1_R2"	"Entirely-Photoactivated-2_R1"	"Entirely-Photoactivated-2_R2"	"Entirely-Photoactivated-3_R1"	"Entirely-Photoactivated-3_R2"
1	36.63367552915258	36.684253719631585	36.68048276440478	36.63144856452488	36.61123173523137	36.592041897975946	36.680764204961264	36.69849445512985	36.686089092770246	36.42224156118968	36.64508582353551	36.6014768680326	36.571056877363205	36.45380527105913	36.58643474155745	36.41182343785433	36.59424804777775	36.36625152906477	36.62999228027638	36.63393169744351	36.64645531841318	36.515458441070244	36.65282601752794	36.50386543711501
2	36.747231239114406	36.94910210616344	36.790477367553315	36.94000060912225	36.723981623520125	36.93475169153295	36.790120699424264	36.95058253929863	36.78472046709512	36.90592687820602	36.74728370867473	36.938470854647655	36.676378677764355	36.9154774270625	36.77174116046328	36.918578043589704	36.76806576321352	36.89563295666196	36.77757372976902	36.93889247224562	36.74573511137149	36.924650207611364	36.76754361334055	36.92401284579585
3	36.84303490129965	36.9420107234709	36.86815453325441	36.93214767203344	36.83794622089383	36.930175380039856	36.86812530851746	36.94317900191659	36.867956934782924	36.89136588637407	36.84795140119703	36.93183238367028	36.8126735196051	36.905819560836676	36.84781897810113	36.89974204208469	36.84938643580687	36.895031276964	36.861318537204745	36.93060309420781	36.8521461626032	36.91931160587679	36.86037734058611	36.91229161711327
4	36.82774463933334	36.88845516430522	36.85415611152484	36.87975707412193	36.819383568578886	36.877996159279625	36.85166215881309	36.876488158016286	36.85230425244787	36.84513516982885	36.832648043220935	36.881577389067175	36.79582893825183	36.86359299560488	36.83768098652854	36.811703560619385	36.837314642358606	36.81543584729883	36.848180838293196	36.83811751092559	36.838872764089885	36.87913076050324	36.84754912339297	36.86076033745415
5	36.84562245419781	36.72918117464128	36.861087441692554	36.72102441345719	36.8375325043553	36.74347576017692	36.86366129228512	36.721848184245445	36.86763342975603	36.693728424964426	36.84585175847379	36.73085208676669	36.82940718961974	36.73308556282477	36.845518542691444	36.64297337005058	36.847688294887675	36.6663085904951	36.86049995311291	36.68188830878174	36.85895513804656	36.738099410407585	36.86012058334374	36.70824466872871
6	36.865148066649716	36.648982658521916	36.87605501159225	36.649573170492296	36.863540187973506	36.706817675277	36.87936629784064	36.67628058739962	36.88421028313117	36.65237210095705	36.868846681490645	36.66883357022921	36.86292323769055	36.68282369007207	36.857380787890946	36.57952361528791	36.86273693072617	36.632559417474404	36.873832009421676	36.6156100331474	36.87953227953631	36.700267042685546	36.8774940493145	36.64137157992119
7	36.8219607524292	36.65065851662772	36.83819427865829	36.647990018601575	36.82268194701224	36.71732833057756	36.84600069805149	36.705558326570085	36.84801649069654	36.680461661683985	36.82940070489905	36.68665619265741	36.81475455950838	36.68946371329106	36.816207103926395	36.5792463991821	36.82017628309234	36.62448535908331	36.83798583654263	36.612106593366924	36.841887076066506	36.71344544116174	36.83514170495209	36.64526587403012
8	36.814465718013864	36.63705880373113	36.83086875230079	36.63630902052399	36.816179442860694	36.701348140445255	36.84343936725553	36.680461096516	36.8419875270608	36.691300469711095	36.82363543166016	36.66453917188782	36.81390489464428	36.6869114119143	36.814003777805944	36.56658298416119	36.822787512587055	36.61267545106443	36.836884678223605	36.60549263417006	36.83844230299107	36.698828196644904	36.836624456636805	36.62497839614539
9	36.82337691471258	36.6505748014524	36.841582158618195	36.640418720965656	36.82864809722277	36.710968994122894	36.84926509936518	36.69267971061655	36.852055161914926	36.696009913594764	36.8316983460788	36.67975989414446	36.81955601056116	36.690290945644286	36.823486590825645	36.57075657410794	36.82710873541158	36.61197389404647	36.84030180369372	36.57861684121366	36.84170458257993	36.69853268731084	36.83974256761287	36.63277872939311
12	36.82276956861858	36.69668744698886	36.82975218838413	36.68268936859326	36.82546221978721	36.73271561730663	36.83927167474816	36.71847709149961	36.84746014101293	36.73456337546389	36.828200769865866	36.70643626648718	36.8215451203517	36.72570133178287	36.81196364789008	36.6041438270431	36.8183324311525	36.64173707965678	36.82532621384108	36.63150864851723	36.838573386503825	36.73640614531881	36.830384682286514	36.66781009150041
17	36.820776227644004	36.72995590898823	36.83001771580728	36.71262181388604	36.82656622227286	36.754384185743746	36.835516511766194	36.746480885163244	36.84643389804729	36.75932785859852	36.82731696243361	36.7327208665145	36.82412391072581	36.744894409645916	36.80769825828052	36.63574711612523	36.81944124794086	36.667736881605876	36.824174562617806	36.677177386959755	36.8384370355137	36.75356531691155	36.82800573522819	36.69524526257772
22	36.83216771697674	36.71451713360839	36.83621165535381	36.6864991680241	36.83415436063617	36.732663791284736	36.84349261838077	36.719826725842154	36.85149539827624	36.73723320746988	36.83677716906555	36.706964668604876	36.811940180337416	36.72904879868506	36.81752024322377	36.61445017230122	36.830047245864726	36.64680464205001	36.825306180092824	36.661440682134	36.82739246203924	36.73014969651234	36.83152785780386	36.67230156847371
27	36.799078645217335	36.71192481016883	36.80487150687977	36.69171031615847	36.79844150048411	36.737046844020156	36.80804627196439	36.72723589183908	36.81850877888495	36.74252925327956	36.80009860551591	36.71066666380538	36.78181403884549	36.726639805345165	36.78159726040916	36.62283598883748	36.79047997219794	36.64936042804619	36.799534516903	36.66453135450344	36.79704868234415	36.71600832449299	36.79865308302557	36.67617173587828
32	36.81819514905023	36.7128973546507	36.82730652091558	36.68627011884455	36.82047236763985	36.730813844471285	36.8305271588068	36.72264595859035	36.83791602668725	36.73289593679239	36.822835299241135	36.706094495728316	36.796641853109534	36.71637807665776	36.807429726235796	36.60266911460179	36.81389745049883	36.6355668868498	36.821474956654626	36.656246153002904	36.81542354400766	36.71878153570027	36.81583446946015	36.666486460538835
37	36.809595636874384	36.745121638919926	36.821461432045055	36.72018916520003	36.80502383198258	36.76177644357434	36.82345603482388	36.75841609164062	36.82611972285642	36.760848883711425	36.80953895946381	36.73838659317725	36.79780707875434	36.73786622212034	36.80364533836534	36.635144649304166	36.80960933556827	36.65492702553662	36.81385271482852	36.69334624116449	36.80919550471977	36.740524801160824	36.81000620682761	36.697582463765094
42	36.79880650643652	36.71464255769602	36.806696906359306	36.68349082185143	36.78960596507526	36.72648330607808	36.80721879838811	36.73015721279233	36.80998242237136	36.72287494545053	36.792388992694306	36.70673404258884	36.77020975765795	36.7005103130999	36.78084653375017	36.57572016602376	36.77774457742804	36.59457763482319	36.787297276735075	36.619573270960544	36.776770785251315	36.70778903335367	36.794490203593604	36.65270791141356
47	36.76160983146507	36.683085080712395	36.779246508792845	36.65502575578116	36.76913450102431	36.705420520039105	36.78084490006863	36.69352701316367	36.78535256944976	36.70609191931993	36.76785855326807	36.67863227307275	36.761674278022646	36.69113477018715	36.763031618629945	36.57526121836569	36.76628075202256	36.60623232546506	36.77524074175199	36.621558113480226	36.77525868932376	36.69059974401479	36.77800211527579	36.63824529566784
52	36.7767817768158	36.68403483673635	36.785511714071966	36.659617905131995	36.770278808527564	36.70802234393681	36.784863283867494	36.69991297280446	36.788627022283436	36.70989664696948	36.77256865324914	36.681937863027144	36.74942844056849	36.69998370422424	36.765566475760664	36.58657179745025	36.769425571159196	36.616200588390626	36.77870106074893	36.6344127242402	36.7701462115894	36.69923418127438	36.77469241466288	36.64467717136305
57	36.76897214745181	36.66492499318032	36.78440812137726	36.635498286613	36.77421249476807	36.68844752640901	36.78903444892111	36.678547245695185	36.793095668629995	36.68766465107094	36.77518108970366	36.66062152760615	36.76701197876072	36.67580870256348	36.77453619097459	36.55717522337072	36.77433512195258	36.59198319499651	36.78256152915873	36.61626601378377	36.77877430264207	36.670090411803116	36.783934584395844	36.62063184135331
62	36.7591963354717	36.68845639802755	36.7834388491449	36.657165192007454	36.755851079007655	36.70621984304945	36.78588568204932	36.69845200544182	36.77855620320128	36.702595287437944	36.763819649206184	36.68027094177083	36.7292834077603	36.69359006137141	36.77707529300879	36.57998657466919	36.77170429035786	36.61007886011454	36.77754079535895	36.63433573657069	36.74406343169824	36.69715856520607	36.75604267302483	36.63746270922697
67	36.719676107499595	36.595672035494566	36.74407286109566	36.57488137572581	36.70829430023235	36.634623265892074	36.751352891845286	36.623028103610594	36.74144233331785	36.639826665720136	36.723798004573	36.604743096774676	36.67955054897154	36.61638820996238	36.73308530359122	36.50094719073033	36.735601962391605	36.537986346500716	36.73636789706585	36.54623931752471	36.70133014994259	36.61511860876517	36.716878671913605	36.55905437116523
72	36.76481832848668	36.588693148672085	36.77329312573	36.5524888709062	36.762839573562886	36.6137565684498	36.7743821647856	36.60000370853398	36.78405310090072	36.616225305585445	36.76078741190934	36.58566213633044	36.75233409512349	36.60533343279854	36.76184213401028	36.470612603837296	36.766195643531496	36.515572768625205	36.76992632182346	36.52976083366388	36.765210219222	36.59777096788418	36.77078196226284	36.53982598180522
77	36.7553893664212	36.673187335947205	36.7725970571277	36.644496065539414	36.75325193111321	36.69448889350665	36.776055147835336	36.69334189255834	36.77998462978711	36.69280544635886	36.7568674802793	36.669434223188915	36.73679335647952	36.677499312686436	36.765715208788265	36.56480014738649	36.77266082523938	36.593744266283956	36.77420636980032	36.61252744379321	36.75417107134241	36.67858155250127	36.76377889144884	36.62235486523548
82	36.762674495573414	36.62596623329605	36.77160172789467	36.59679480560485	36.74854166172324	36.6455061487931	36.772259117620344	36.6507416766133	36.7747323085101	36.640402471275095	36.75354916811305	36.62187564688071	36.72707323135175	36.622213054837275	36.762678392720076	36.51552725599214	36.75858062222268	36.544479359747115	36.76329072441537	36.57178409292219	36.743977648866895	36.63222046130198	36.75726724975689	36.57011917842385
87	36.73366025232726	36.55972804327132	36.7367615263973	36.511047300648286	36.71192260076398	36.56247727711614	36.73406917877294	36.5688401039627	36.741129507919496	36.5449385452807	36.714230150576526	36.53385600676229	36.70527600791524	36.53031241924948	36.72685204403301	36.407318078081516	36.72176774314609	36.438390609141116	36.72904403692576	36.48433332743984	36.71368604235007	36.54374860817735	36.726981483829356	36.4736653301422
92	36.38112037707235	36.50645651128182	36.41202073261114	36.459534413766704	36.319609167956465	36.51312022855031	36.4071060715531	36.512497045817994	36.38184439888639	36.498994588560706	36.34549796814322	36.48133473385013	36.24352073170148	36.4909517975786	36.41606759736227	36.37821668119492	36.412393065152074	36.41572023887208	36.38912698333888	36.44952662032806	36.2890350182465	36.491840441342546	36.33549818842059	36.42854372006552
97	36.73999649796249	36.372825223536196	36.75649059433336	36.30888561617236	36.72172295219205	36.37323483436006	36.7524210535955	36.35492529730166	36.75621564916194	36.35421904525456	36.730514066229084	36.33484873906743	36.69555460849041	36.37948313543434	36.735442875321056	36.2481044749206	36.728879885303904	36.2896501791681	36.72449545005859	36.31278145155103	36.714116427859786	36.378248644883584	36.73536544971223	36.29346975169498
102	36.74591295309772	36.600388345979276	36.762144193685266	36.570957213121204	36.71812544655695	36.60990281961287	36.76119570393983	36.61501334142413	36.75723276264203	36.615189380798256	36.733444825279335	36.58424272786849	36.675836177369874	36.59048920854059	36.756633846478564	36.51737946811498	36.74689514763277	36.55453711091249	36.73165295531696	36.56120042643171	36.70363740074497	36.60104977922416	36.73060025064677	36.54175810597617
107	36.71941080759179	36.60317605643637	36.74480452144218	36.57235799022572	36.701526973739604	36.61354212856777	36.742770073513405	36.61710773881945	36.73337134154057	36.61555068818788	36.71602941417355	36.58680768588939	36.64849033218183	36.60239694138603	36.74076811606063	36.51049355575718	36.73043789057545	36.54770008035413	36.71608219782076	36.569465505781025	36.682019449025304	36.61514486635199	36.70152083967233	36.54804904667277
112	36.715595797717356	36.59226198416205	36.735343903668806	36.54878221183891	36.6892771455217	36.59122632173842	36.72943122908785	36.59238654713206	36.72495013443119	36.59603950946991	36.7028161141927	36.564366413498995	36.623420805657595	36.58707922920562	36.723999614866344	36.49572476536197	36.69773663715437	36.53211320318191	36.6993748063905	36.54167252753592	36.63926731191328	36.592545226867074	36.69707118720819	36.528473338900355
117	36.702112771991025	36.562972243396764	36.720971835604374	36.52339185738407	36.66999439293146	36.57084786649027	36.71105681110619	36.57073372879508	36.709647789734156	36.57209039295881	36.68117017899781	36.54208189092581	36.61714503742809	36.57750743703328	36.7115575556842	36.46790775749688	36.69613430283543	36.507103852854165	36.69479137449544	36.504949064175214	36.64192750266319	36.586769416144804	36.6862270679812	36.51033761642693
122	36.676457862857525	36.52933702580195	36.698810442701074	36.49096306134493	36.63175591223292	36.53969797049639	36.69002050461736	36.54584861679151	36.679544430086516	36.53832348126034	36.649172936036734	36.510364205240336	36.584173253875406	36.545647661399244	36.69343211505077	36.4325089312207	36.67325899946918	36.47760311404262	36.662613696487185	36.50609055507971	36.60396706968163	36.55507408395392	36.657020767847285	36.481207852830416
127	36.63164451551926	36.52009906740717	36.666103920370766	36.467636745556796	36.594029677884585	36.51817887765691	36.65651488933493	36.52511432294291	36.64234347644001	36.51661038858322	36.61231524286426	36.486580749480915	36.53323367308145	36.51150354744825	36.66958765088403	36.41019418473771	36.65071492181154	36.453667176356404	36.64500887714667	36.46362341729669	36.563152916597076	36.53292444144317	36.618148126421104	36.45502736014711
132	36.618693591032816	36.46319568506114	36.64965657594318	36.4213604913505	36.57508141735933	36.46536042892069	36.63962851780489	36.482826294724035	36.628469130147174	36.46204862417534	36.592990172549875	36.43125974640716	36.50793623868987	36.44755061288793	36.64912353917593	36.35719266566451	36.63691949459677	36.40948775141442	36.63347479300489	36.43718989034038	36.54270141232193	36.471172279950416	36.60613066782671	36.40410084777595
137	36.609109206049524	36.44988288629684	36.630405658125284	36.397787038119304	36.57414364889169	36.4351939511714	36.62364375207915	36.45735762989822	36.618634146029436	36.42976063521719	36.58758608045465	36.4020826962779	36.52634385098937	36.41540500418022	36.62752439677105	36.32472561427524	36.62682015736017	36.37693492048285	36.61921064471579	36.399516814673675	36.57472514501785	36.44969497359269	36.59772060502387	36.381345036764216
